design_id,material,pinion_teeth,gear_teeth,module_mm,face_width_mm,actual_ratio,ratio_error_percent,actual_output_rpm,speed_error_percent,pinion_pitch_diameter_mm,gear_pitch_diameter_mm,center_distance_mm,input_torque_nm,output_torque_nm,tangential_force_n,radial_force_n,normal_force_n,pinion_bending_stress_mpa,gear_bending_stress_mpa,gear_fos,input_shaft_diameter_mm,input_shaft_fos,output_shaft_diameter_mm,output_shaft_fos,bearing_span_mm,input_bearing,input_bearing_life_hours,output_bearing,output_bearing_life_hours,estimated_rotating_mass_kg
1,AISI 4140 Steel,21,184,2.0,16.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,42.0,368.0,205.0,13.641852265019601,115.94275201241422,812.0150157749763,295.5492955192921,864.1283307044068,73.05797286842997,54.17453345910141,8.96548281156923,15,9.546957276444129,17,2.4935900227171643,80.0,6002,10368.120637309097,6203,443511.9284553667,14.103329092904326
2,AISI 1045 Steel,21,184,2.0,16.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,42.0,368.0,205.0,13.641852265019601,115.94275201241422,812.0150157749763,295.5492955192921,864.1283307044068,73.05797286842997,54.17453345910141,6.159492007948326,15,6.558978281526501,20,2.7895842877618,80.0,6002,10368.120637309097,6204,1084836.7724554942,14.267451895665491
3,AISI 1020 Steel,21,184,2.0,16.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,42.0,368.0,205.0,13.641852265019601,115.94275201241422,812.0150157749763,295.5492955192921,864.1283307044068,73.05797286842997,54.17453345910141,4.790716006182031,15,5.101427552298389,20,2.1696766682591777,80.0,6002,10368.120637309097,6204,1084836.7724554942,14.30310909794744
4,AISI 4140 Steel,22,192,2.0,16.0,8.727272727272727,0.2597402597402671,401.0416666666667,0.2604166666666714,44.0,384.0,214.0,13.641852265019601,115.48448026532955,775.1052423306592,282.11523663205156,824.849770217843,68.5118094757429,51.640403450931124,9.560395572852407,15,9.801937979883453,17,2.505387945990749,80.0,6002,11920.931707814194,6203,507920.19727275346,15.307204990678795
5,AISI 1045 Steel,22,192,2.0,16.0,8.727272727272727,0.2597402597402671,401.0416666666667,0.2604166666666714,44.0,384.0,214.0,13.641852265019601,115.48448026532955,775.1052423306592,282.11523663205156,824.849770217843,68.5118094757429,51.640403450931124,6.568210698906235,15,6.734155864042068,20,2.8027826487964465,80.0,6002,11920.931707814194,6204,1242380.3557964133,15.47132779343996
6,AISI 1020 Steel,22,192,2.0,16.0,8.727272727272727,0.2597402597402671,401.0416666666667,0.2604166666666714,44.0,384.0,214.0,13.641852265019601,115.48448026532955,775.1052423306592,282.11523663205156,824.849770217843,68.5118094757429,51.640403450931124,5.108608321371515,15,5.23767678314383,20,2.179942060175014,80.0,6002,11920.931707814194,6204,1242380.3557964133,15.510052195461462
7,AISI 4140 Steel,23,201,2.0,16.0,8.73913043478261,0.12422360248446498,400.49751243781094,0.12437810945273498,46.0,402.0,224.0,13.641852265019601,115.64138852655964,741.4050144032392,269.8493567784841,788.9867367301106,64.49828783615689,49.32478495477733,10.155308334135587,15,10.041913814390146,17,2.5038650994649223,80.0,6002,13621.52292345749,6203,581166.5661137076,16.720605012254723
8,AISI 1045 Steel,23,201,2.0,16.0,8.73913043478261,0.12422360248446498,400.49751243781094,0.12437810945273498,46.0,402.0,224.0,13.641852265019601,115.64138852655964,741.4050144032392,269.8493567784841,788.9867367301106,64.49828783615689,49.32478495477733,6.976929389864144,15,6.899024757977963,20,2.801079037255487,80.0,6002,13621.52292345749,6204,1421542.0632261187,16.884727815015886
9,AISI 1020 Steel,23,201,2.0,16.0,8.73913043478261,0.12422360248446498,400.49751243781094,0.12437810945273498,46.0,402.0,224.0,13.641852265019601,115.64138852655964,741.4050144032392,269.8493567784841,788.9867367301106,64.49828783615689,49.32478495477733,5.426500636561,15,5.365908145093972,20,2.1786170289764897,80.0,6002,13621.52292345749,6204,1421542.0632261187,16.92705323620064
10,AISI 4140 Steel,21,184,2.0,20.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,42.0,368.0,205.0,13.641852265019601,115.94275201241422,812.0150157749763,295.5492955192921,864.1283307044068,58.44637829474398,43.339626767281125,11.206853514461535,15,9.546957276444129,17,2.4935900227171643,80.0,6002,10368.120637309097,6203,443511.9284553667,17.486591274645637
11,AISI 1045 Steel,21,184,2.0,20.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,42.0,368.0,205.0,13.641852265019601,115.94275201241422,812.0150157749763,295.5492955192921,864.1283307044068,58.44637829474398,43.339626767281125,7.6993650099354065,15,6.558978281526501,20,2.7895842877618,80.0,6002,10368.120637309097,6204,1084836.7724554942,17.6507140774068
12,AISI 1020 Steel,21,184,2.0,20.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,42.0,368.0,205.0,13.641852265019601,115.94275201241422,812.0150157749763,295.5492955192921,864.1283307044068,58.44637829474398,43.339626767281125,5.988395007727538,15,5.101427552298389,20,2.1696766682591777,80.0,6002,10368.120637309097,6204,1084836.7724554942,17.694991055947963
13,AISI 4140 Steel,24,210,2.0,16.0,8.75,0.0,400.0,0.0,48.0,420.0,234.0,13.641852265019601,115.78522109935386,710.5131388031042,258.60563357938054,756.112289366356,60.92897943086304,47.208084169235306,10.750221095418768,15,10.26771350234717,17,2.502396657307269,80.0,6002,15476.61156356344,6203,661135.7939707333,18.19871681594635
14,AISI 1045 Steel,24,210,2.0,16.0,8.75,0.0,400.0,0.0,48.0,420.0,234.0,13.641852265019601,115.78522109935386,710.5131388031042,258.60563357938054,756.112289366356,60.92897943086304,47.208084169235306,7.385648080822054,15,7.054154314589659,20,2.799436287993116,80.0,6002,15476.61156356344,6204,1617147.9837845878,18.362839618707515
15,AISI 1020 Steel,24,210,2.0,16.0,8.75,0.0,400.0,0.0,48.0,420.0,234.0,13.641852265019601,115.78522109935386,710.5131388031042,258.60563357938054,756.112289366356,60.92897943086304,47.208084169235306,5.744392951750487,15,5.486564466903068,20,2.1773393351057573,80.0,6002,15476.61156356344,6204,1617147.9837845878,18.408930929837975
16,AISI 4140 Steel,22,192,2.0,20.0,8.727272727272727,0.2597402597402671,401.0416666666667,0.2604166666666714,44.0,384.0,214.0,13.641852265019601,115.48448026532955,775.1052423306592,282.11523663205156,824.849770217843,54.809447580594316,41.3123227607449,11.950494466065509,15,9.801937979883453,17,2.505387945990749,80.0,6002,11920.931707814194,6203,507920.19727275346,18.991436146863723
17,AISI 1045 Steel,22,192,2.0,20.0,8.727272727272727,0.2597402597402671,401.0416666666667,0.2604166666666714,44.0,384.0,214.0,13.641852265019601,115.48448026532955,775.1052423306592,282.11523663205156,824.849770217843,54.809447580594316,41.3123227607449,8.210263373632793,15,6.734155864042068,20,2.8027826487964465,80.0,6002,11920.931707814194,6204,1242380.3557964133,19.155558949624886
18,AISI 1020 Steel,22,192,2.0,20.0,8.727272727272727,0.2597402597402671,401.0416666666667,0.2604166666666714,44.0,384.0,214.0,13.641852265019601,115.48448026532955,775.1052423306592,282.11523663205156,824.849770217843,54.809447580594316,41.3123227607449,6.3857604017143945,15,5.23767678314383,20,2.179942060175014,80.0,6002,11920.931707814194,6204,1242380.3557964133,19.20366992784049
19,AISI 4140 Steel,25,219,2.0,16.0,8.76,0.11428571428571184,399.5433789954338,0.114155251141554,50.0,438.0,244.0,13.641852265019601,115.91754706632454,682.09261325098,248.26140823620534,725.8677977917017,57.73400369472677,45.26570721191935,11.345133856701947,15,10.480149329768846,17,2.5009847713145765,80.0,6002,17492.91490745651,6203,748123.030751853,19.74154040175368
20,AISI 1045 Steel,25,219,2.0,16.0,8.76,0.11428571428571184,399.5433789954338,0.114155251141554,50.0,438.0,244.0,13.641852265019601,115.91754706632454,682.09261325098,248.26140823620534,725.8677977917017,57.73400369472677,45.26570721191935,7.794366771779964,15,7.200102592970963,20,2.7978568082288224,80.0,6002,17492.91490745651,6204,1829920.0585360075,19.905663204514845
21,AISI 1020 Steel,25,219,2.0,16.0,8.76,0.11428571428571184,399.5433789954338,0.114155251141554,50.0,438.0,244.0,13.641852265019601,115.91754706632454,682.09261325098,248.26140823620534,725.8677977917017,57.73400369472677,45.26570721191935,6.062285266939972,15,5.600079794532971,20,2.1761108508446396,80.0,6002,17492.91490745651,6204,1829920.0585360075,19.955685276373483
22,AISI 4140 Steel,18,158,2.5,20.0,8.777777777777779,0.3174603174603265,398.73417721518985,0.31645569620253866,45.0,395.0,220.0,13.641852265019601,116.152793229828,757.8806813899779,275.8460091513393,806.5197753241131,46.70267807264499,32.5385580988605,14.024891655702524,15,9.923749419551255,17,2.4921441564862374,80.0,6002,12752.334967535791,6203,546488.5015731854,20.059032582758856
23,AISI 1045 Steel,18,158,2.5,20.0,8.777777777777779,0.3174603174603265,398.73417721518985,0.31645569620253866,45.0,395.0,220.0,13.641852265019601,116.152793229828,757.8806813899779,275.8460091513393,806.5197753241131,46.70267807264499,32.5385580988605,9.635421748192574,15,6.817843112668801,20,2.7879667942350963,80.0,6002,12752.334967535791,6204,1336719.0016634604,20.22315538552002
24,AISI 1020 Steel,18,158,2.5,20.0,8.777777777777779,0.3174603174603265,398.73417721518985,0.31645569620253866,45.0,395.0,220.0,13.641852265019601,116.152793229828,757.8806813899779,275.8460091513393,806.5197753241131,46.70267807264499,32.5385580988605,7.494216915260891,15,5.302766865409067,20,2.168418617738408,80.0,6002,12752.334967535791,6204,1336719.0016634604,20.273986354655104
25,AISI 4140 Steel,23,201,2.0,20.0,8.73913043478261,0.12422360248446498,400.49751243781094,0.12437810945273498,46.0,402.0,224.0,13.641852265019601,115.64138852655964,741.4050144032392,269.8493567784841,788.9867367301106,51.59863026892551,39.45982796382186,12.694135417669484,15,10.041913814390146,17,2.5038650994649223,80.0,6002,13621.52292345749,6203,581166.5661137076,20.758186173833636
26,AISI 4140 Steel,21,184,2.0,24.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,42.0,368.0,205.0,13.641852265019601,115.94275201241422,812.0150157749763,295.5492955192921,864.1283307044068,48.70531524561998,36.11635563940094,13.448224217353845,15,8.52436339652387,17,2.483444333324616,96.0,6002,10368.120637309097,6203,443511.9284553667,20.920557505178827
27,AISI 1045 Steel,23,201,2.0,20.0,8.73913043478261,0.12422360248446498,400.49751243781094,0.12437810945273498,46.0,402.0,224.0,13.641852265019601,115.64138852655964,741.4050144032392,269.8493567784841,788.9867367301106,51.59863026892551,39.45982796382186,8.72116173733018,15,6.899024757977963,20,2.801079037255487,80.0,6002,13621.52292345749,6204,1421542.0632261187,20.9223089765948
28,AISI 1020 Steel,23,201,2.0,20.0,8.73913043478261,0.12422360248446498,400.49751243781094,0.12437810945273498,46.0,402.0,224.0,13.641852265019601,115.64138852655964,741.4050144032392,269.8493567784841,788.9867367301106,51.59863026892551,39.45982796382186,6.783125795701251,15,5.365908145093972,20,2.1786170289764897,80.0,6002,13621.52292345749,6204,1421542.0632261187,20.974921228764465
29,AISI 1045 Steel,21,184,2.0,24.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,42.0,368.0,205.0,13.641852265019601,115.94275201241422,812.0150157749763,295.5492955192921,864.1283307044068,48.70531524561998,36.11635563940094,9.239238011922488,15,5.8564328678408275,20,2.778234284168537,96.0,6002,10368.120637309097,6204,1084836.7724554942,21.095630014974812
30,AISI 1020 Steel,21,184,2.0,24.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,42.0,368.0,205.0,13.641852265019601,115.94275201241422,812.0150157749763,295.5492955192921,864.1283307044068,48.70531524561998,36.11635563940094,7.186074009273047,15,4.555003341653977,20,2.16084888768664,96.0,6002,10368.120637309097,6204,1084836.7724554942,21.148683849407867
31,AISI 4140 Steel,19,166,2.5,20.0,8.736842105263158,0.15037593984962835,400.6024096385542,0.15060240963855165,47.5,415.0,231.25,13.641852265019601,115.61110798491873,717.9922244747158,261.327798143374,764.0713660965281,43.12947285810814,30.768182683946318,15.18683064258373,15,10.212547819871002,17,2.50572961879447,80.0,6002,14997.98791878052,6203,639726.3233566713,22.085129133613776
32,AISI 1045 Steel,19,166,2.5,20.0,8.736842105263158,0.15037593984962835,400.6024096385542,0.15060240963855165,47.5,415.0,231.25,13.641852265019601,115.61110798491873,717.9922244747158,261.327798143374,764.0713660965281,43.12947285810814,30.768182683946318,10.433700441469739,15,7.016254227392292,20,2.803164878864795,80.0,6002,14997.98791878052,6204,1564780.100282945,22.24925193637494
